yr,gen,block,plot,row,col,fy
H04,MK19,B5,MK19B5,5,2,32.45182336
H04,MK20,B5,MK20B5,5,5,45.37214646
H04,MK21,B5,MK21B5,5,3,21.97318122
H04,MK22,B5,MK22B5,5,4,23.45325
H04,MK23,B5,MK23B5,5,1,35.36065079
H04,MK24,B5,MK24B5,5,21,20.8260161
H04,MK25,B5,MK25B5,5,16,30.27893433
H05,MK01,B1,MK01B1,1,13,28.84455357
H05,MK02,B1,MK02B1,1,1,28.07405298
H05,MK03,B1,MK03B1,1,18,23.54816799
H05,MK04,B1,MK04B1,1,9,27.59965619
H05,MK05,B1,MK05B1,1,10,27.20597727
H05,MK06,B1,MK06B1,1,16,16.99104113
H05,MK07,B1,MK07B1,1,22,20.85138104
H05,MK08,B1,MK08B1,1,20,28.39804102
H05,MK09,B1,MK09B1,1,23,8.496018591
H05,MK10,B1,MK10B1,1,4,21.09792324
H05,MK11,B1,MK11B1,1,3,36.14875468
H05,MK12,B1,MK12B1,1,19,33.53094691
H05,MK13,B1,MK13B1,1,24,37.36700089
H05,MK14,B1,MK14B1,1,14,26.96515118
H05,MK15,B1,MK15B1,1,7,20.48130652
H05,MK16,B1,MK16B1,1,6,9.373124074
H05,MK17,B1,MK17B1,1,2,23.89029744
H05,MK18,B1,MK18B1,1,25,13.35445008
H05,MK19,B1,MK19B1,1,21,27.8158486
H05,MK20,B1,MK20B1,1,5,36.69225758
H05,MK21,B1,MK21B1,1,8,9.228736111
H05,MK22,B1,MK22B1,1,17,20.47505952
H05,MK23,B1,MK23B1,1,15,34.91304762
H05,MK24,B1,MK24B1,1,11,19.12593316
H05,MK25,B1,MK25B1,1,12,14.91350497
H05,MK01,B2,MK01B2,2,20,12.07446429
H05,MK02,B2,MK02B2,2,2,25.91451044
H05,MK03,B2,MK03B2,2,3,33.9093619
H05,MK04,B2,MK04B2,2,11,33.68093636
H05,MK05,B2,MK05B2,2,15,30.22886364
H05,MK06,B2,MK06B2,2,18,30.30834365
H05,MK07,B2,MK07B2,2,22,28.87114299
H05,MK08,B2,MK08B2,2,19,33.22034988
H05,MK09,B2,MK09B2,2,13,24.14657915
H05,MK10,B2,MK10B2,2,9,25.74661818
H05,MK11,B2,MK11B2,2,10,24.61191808
H05,MK12,B2,MK12B2,2,12,1.649062963
